Trainee Name: Mr Ooga Dooga
Trainer Name: Mrs Skupydupi Doo
Total Time Used: 13.94 seconds
Sampling Rate: 1000 sps
Pitch, Roll
20.88933982433456,-56.480781338973095
20.849553517154057,-57.345353359720484
20.11431500679814,-58.31362305043212
19.899450565308715,-59.36496187703952
20.19011266975839,-59.4090322633241
20.20362174842982,-60.09120325493444
20.485831889344784,-59.921341953084095
20.979895972009253,-60.03786524213886
20.689495714731326,-60.82802644093671
20.390313909529613,-61.45346352535002
19.94722514280176,-62.09403524344317
20.064848105179852,-62.60191799254357
21.133632167589912,-62.519179036418066
21.396676576720584,-62.59892503818746
21.318296087944532,-62.25860490931422
22.015661643525757,-61.94599869181531
21.888147115554926,-61.343470945001016
21.79097641672721,-60.9756893989525
21.40049948222779,-61.46475427152884
21.857325137758455,-61.199501486205754
22.001949090123176,-61.267323036201354
21.60870249689347,-60.583167181453135
21.171879565525497,-60.10698866310689
21.074603331427415,-59.78733412922035
20.84081158751398,-59.752129342016644
21.055089575164867,-59.87343706163775
21.34786681330412,-60.06319757752825
21.22848898237453,-60.833885156017516
20.867522148293247,-61.555623335723695
21.596734415838284,-61.58491728221168
21.736979330159194,-61.35311040251469
22.3572954145425,-60.51880895150256
22.076726520380056,-60.453607978023506
22.823234331764176,-59.800736242498324
22.702423433121773,-59.478679718500516
22.70695232978023,-58.17915628708338
22.87232156530362,-56.6379034309602
23.162250075342516,-56.16141144053929
22.595697168893782,-56.7099685578274
23.274741136987444,-54.42749321812016
24.45334166752673,-53.35145144844055
24.108607508359203,-54.260381535805486
23.26473096639158,-54.77721484776455
22.72459898816914,-55.76489820350526
21.523452263387252,-59.232475838458335
22.031566539840146,-59.91639317802662
22.839293240934666,-61.2861280457911
19.539680207592824,-59.59251016899646
22.08669988234257,-65.21133141316383
20.97109206749101,-66.30869883411661
21.37412370089274,-68.30708747068549
21.681280820925604,-67.95448085944169
21.132601349767402,-67.27021266276083
21.07484839039721,-67.24833239663971
22.042441952209984,-66.29101219749212
21.785627879010647,-67.3753346748329
19.785045997900212,-68.7973533160916
21.208626382129147,-66.37287138573286
21.027237151280147,-64.50696066385657
21.181843716947423,-63.76623803350698
20.174228250705106,-59.70057189274126
22.778308036112065,-60.485110864850746
22.61631268054587,-58.78433958600203
23.009014189139606,-59.28067895998373
22.60044558342887,-59.57433003260791
22.319245060557925,-59.61016288106666
22.691852494309213,-58.58424753500709
22.14890151082831,-59.80185836927562
